date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Lower Band,Real Upper Band
2023-07-13 14:15:00,341.745,342.59,341.575,341.75,805138.0,0.6509,341.0944,61.7918,341.0944,337.612804163717,344.575995836283
2023-07-13 14:30:00,341.743,341.935,341.56,341.78,336940.0,0.1729,341.1239,61.9863,341.1239,337.63496277094646,344.6128372290535
2023-07-13 14:45:00,341.775,342.245,341.775,342.12,377355.0,0.4144,341.1945,64.1629,341.1945,337.7052921641712,344.6837078358288
2023-07-13 15:00:00,342.13,342.88,341.95,342.821,478601.0,0.721,341.3172,68.1241,341.3172,337.8282745500523,344.80612544994773
2023-07-13 15:15:00,342.84,343.22,342.6,343.128,668328.0,0.9527,341.4791,69.6695,341.4791,337.38174834371125,345.5764516562888
2023-07-13 15:30:00,343.11,343.74,342.71,343.715,753106.0,0.681,341.5953,72.3661,341.5953,336.8171161248233,346.3734838751767
2023-07-13 15:45:00,343.71,343.72,342.56,342.67,1387146.0,0.3646,341.6576,62.0313,341.6576,336.2586980449321,347.0565019550679
2023-07-13 16:00:00,342.7,342.99,341.467,342.59,5264751.0,0.4103,341.7276,61.3256,341.7276,335.78945927025273,347.66574072974726
2023-07-13 16:15:00,342.6,342.85,342.231,342.72,49782.0,0.5265,341.8173,62.0639,341.8173,335.5444097925795,348.0901902074205
2023-07-13 16:30:00,342.71,342.95,342.35,342.75,10823.0,0.4602,341.8958,62.239,341.8958,335.35989403891637,348.43170596108365
2023-07-13 16:45:00,342.75,342.95,342.75,342.83,6971.0,0.5087,341.9826,62.722,341.9826,335.2706413874683,348.6945586125317
2023-07-13 17:00:00,342.66,342.9,319.298,342.76,3716.0,0.469,342.0626,61.9916,342.0626,335.2653624792557,348.85983752074424
2023-07-13 17:15:00,342.76,342.9,341.7,342.59,11952.0,0.3133,342.1161,60.1997,342.1161,336.8203660885597,347.41183391144034
2023-07-13 17:30:00,342.64,342.65,342.3,342.4,1591.0,0.3429,342.1746,58.2198,342.1746,336.91152972003135,347.43767027996864
2023-07-13 17:45:00,342.45,342.55,342.3,342.55,1379.0,0.4133,342.2451,59.3313,342.2451,337.0709359886516,347.41926401134833
2023-07-13 18:00:00,342.55,342.95,342.3,342.89,7717.0,0.6094,342.3489,61.7588,342.3489,337.3142113129613,347.38358868703875
2023-07-13 18:15:00,342.57,342.93,342.57,342.75,2163.0,0.5279,342.4389,60.2013,342.4389,337.5486712415575,347.3291287584425
2023-07-13 18:30:00,342.75,342.77,342.66,342.7,1531.0,0.4543,342.5164,59.6359,342.5164,337.72201426042517,347.3107857395748
2023-07-13 18:45:00,342.66,342.93,342.66,342.8,4105.0,0.5087,342.6032,60.4185,342.6032,337.98777583380775,347.2186241661923
2023-07-13 19:00:00,342.9,342.92,342.66,342.72,1249.0,0.2838,342.6517,59.4479,342.6517,338.29773106384204,347.005668936158
2023-07-13 19:15:00,342.89,342.9,342.71,342.75,1418.0,0.2926,342.7017,59.7034,342.7017,338.7922413994187,346.61115860058135
2023-07-13 19:30:00,342.9,342.9,342.66,342.85,4000.0,0.3131,342.7552,60.5751,342.7552,339.40020787096074,346.11019212903926
